Site Name,Services,Cost,Latitude,Longitude,Site Type,Comments
,,€0.00,42.572822,1.586612,Wild,Brilliant parking spot for lunch with stunning views over Canillo and mountain peaks.  Waterfalls just behind.
,Trash,€0.00,42.555923,1.57153,Mixed Parking,Lay by right at the mountain pass with stunning views on both sides of the road.  
,Fresh WaterGrey WaterBlack WaterTrashToiletsWi-Fi,€7.00,42.555916,1.53263,Rest Area & Services,Small car park / aire at the side of ports centre. €0.50 per hour max €7 per day with max 48 hour stay. Motorhome service point.  Free wifi inside library.
,ToiletsShowers,€0.00,42.631773,1.482459,Mixed Parking,Car park at the bottom of the sky run. Cafe with great valley views
,Trash,€0.00,42.63184,1.501141,Mixed Parking,"Massive car park at the bottom of the sky lift.  Flat, level Tarmac with fine view down the valley with odd few waterfalls thrown in for good measure. "
,,€0.00,42.540494,1.718001,Mixed Parking,Loose gravel car park at top of the mountain pass with stunning views down the valley and across the peaks.  No restrictions for Motorhomes or camping.  
,Fresh WaterTrash,€0.00,46.797645,12.839411,Wild,Small layby in middle of countryside. 
,,€0.00,46.832834,12.752268,Mixed Parking,"Free parking very close to centre, toboggan run and castle .  No overnight parking permitted.  The car park does has a manual barrier that we assume is locked overnight."
,,€0.00,46.827749,12.761863,Mixed Parking,"Car park with no restrictions.  Just off the main road and short stroll to centre.  Flat, level, tarmac surface."
,Fresh Water,€0.00,46.96892,12.896224,Wild,Lay by at the side of the main road.  Great views of the valley.  Small waterwheel to the side and supermarket just down the hill.  Ideal spot for pre grossglockner drive. 
,Trash,€0.00,47.169152,12.812717,Mixed Parking,Tarmac car park at the entrance to grossglockner pass.  Stunning views and lovely walks
,Fresh WaterTrash,€0.00,46.645631,13.168672,Mixed Parking & Services,Layby with great views.  Flat tarmac so n need for chocs.  Water tap and rubbish. B111 can be noisy during the day.
Kampeerautoterain 1,Black WaterFresh WaterGrey WaterTrashElectric,€25.00,51.196076,3.225659,Rest Area & Services,Two aires and a coach park located just off the main ring road. Great location for access to Bruges as only 5 minutes walk to centre. The aire is situated on the river with pleasant views over the marina and boats.   Reasonably quite with a little road noise.  Good clean parking bays with electric.  The services could be improved as only one rubbish point for all 3 sites and only one grey water dump located on the smaller of the site.
Alden Biesen,,€0.00,50.84159,5.51913,Mixed Parking,"Car park next to the site, possible camper area to the rear in summer but that is a guess, the area could also be for fates. The site had nice walks around the grounds."
,,€0.00,50.7869,5.45143,Mixed Parking,"Gravel car park, Also Aire facing with services."
,,€0.00,50.843534,2.896423,Mixed Parking,Sports ground car park close to centre. Parking also at the sport centre around the corner.
,,€0.00,50.843579,2.896372,Mixed Parking,
,Fresh WaterGrey WaterBlack WaterTrashElectricWi-Fi,€10.00,42.743137,23.285587,Campsite,Closest site to the centre. Essentially someone's back garden but he is very helpful and polite.
,Fresh WaterToilets,€0.00,41.968451,23.096097,Mixed Parking,Service station parking area.
,Fresh Water,€0.00,43.190006,23.158877,Mixed Parking,Small parking area.
,Grey WaterFresh WaterTrash,€0.00,55.324526,8.757599,Mixed Parking,Flat car park that permits overnight parking but no camping. Only 10 minutes walk to city centre. All facilities located on the car park but no electricity.
,TrashToilets,€0.00,57.639689,10.459034,Wild,"Layby just of the main road next to the sand dunes, narrow beach behind, mixed surfaces but level. Popular with cyclists. Located a couple of km before the town of Hulsig."
,,€0.00,57.716056,10.57867,Mixed Parking,"Small car park in in between harbour and centre. Good quiet location and only couple of minutes walk to main attractions. Flat, level surface with no restrictions."
,,€0.00,57.715709,10.573479,Mixed Parking,"Quiet little car park near some properties and the windmill museum, 2 minutes into town and the harbour area, very quiet with parking for about 10 vehicles."
,,€0.00,57.719269,10.510115,Wild,Small ring road around the sand dunes with permitted parking. No restrictions and no fees. Straight on to the beach.
,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,57.39116,10.511498,Wild,Good service area with water. Fuel cheap but check out the price as what is advertised is not what you pay if you use the large fuel station.
Flauenskjold borgerforening,Fresh WaterGrey WaterBlack WaterTrashToiletsElectric,€7.50,57.247592,10.283803,Campsite,Very simple and basic campsite in an open field. Quiet and tranquil.The facilities are only average but this is reflected in a very good price of DDK50 or £5.
,Trash,€0.00,54.930858,8.864219,Mixed Parking,"Car park located behind the old water tower/museum. Flat, clean tarmac surface, very quite at night and 500m to the town centre."
Viking Centre,ToiletsTrash,€0.00,55.756159,9.416225,Mixed Parking,"Flat, level car park located next to the Viking centre. Free with no overnight restrictions. Toilet facilities but no camper services."
,Toilets,€0.00,56.419774,9.406366,Mixed Parking,Good little pull in spot for lunch or overnight spot. Basic facilities and nice picnic area. Located just of the main road.
Himmerland,Fresh WaterGrey WaterBlack WaterTrashToilets,€0.00,56.841781,9.743502,Mixed Parking & Services,Fuel station with free motorhome services. Fuel expensive but a place to stay overnight in needed.
Marina,TrashToilets,€13.00,57.332066,10.532256,Mixed Parking,Overnight parking on the marina. Free during the day but DKK150 for overnight 10 until 7
,,€0.00,57.448619,10.550949,Wild,Loose stone chip ground but solid base underneath. Located Behind industrial section but tiny slip road takes you  straight on to beach. Quiet with no passing traffic.
,Trash,€0.00,57.459521,10.539077,Mixed Parking,Car park with no restrictions and located straight on the beach. Hard surface with loose gravel
Oasen,Fresh WaterGrey WaterTrashToiletsElectricWi-FiShowersBlack Water,€15.00,55.094321,8.540914,Rest Area & Services,Excellent camperplads with spacious plots located round a small lake. Each plot has gravel parking with mown lawn area. Individual electricity posts which cost approx €1 for 12 hours. Peaceful and tranquil. Main information point has lots of leaflets about places to visit and Hannah and Carl the owners are very welcoming.  Shower and toilet facilities very clean. Washing machine and dryer located within shower block entrance. Massive warm TV room where people gather in the evening to share stories over a beer or two.As at May 2016 they were creating another camperplads just around the corner which houses 75 more spaces. 004573755200
,ToiletsTrash,€0.00,54.941158,8.807908,Mixed Parking,Level gravel car park at the side of the church.  Clean with access to toilet facilities including fresh water
,,€0.00,59.61038,25.916426,Mixed Parking,Parking for walking trail. No restrictions
,,€0.00,59.604403,25.92083,Mixed Parking,Grassy area behind the sailing club
,,€0.00,59.600464,25.920203,Mixed Parking,Small town car park
,,€10.00,59.600487,25.919105,Campsite,
